file,reason
000063-2008-中兴通讯.txt,年份不在2015-2023范围内
000063-2009-中兴通讯.txt,年份不在2015-2023范围内
000063-2010-中兴通讯.txt,年份不在2015-2023范围内
000063-2011-中兴通讯.txt,年份不在2015-2023范围内
000063-2012-中兴通讯.txt,年份不在2015-2023范围内
000063-2013-中兴通讯.txt,年份不在2015-2023范围内
000063-2014-中兴通讯.txt,年份不在2015-2023范围内
000065-2012-北方国际.txt,年份不在2015-2023范围内
000065-2013-北方国际.txt,年份不在2015-2023范围内
000065-2014-北方国际.txt,年份不在2015-2023范围内
000066-2010-中国长城.txt,年份不在2015-2023范围内
000066-2011-中国长城.txt,年份不在2015-2023范围内
000066-2012-中国长城.txt,年份不在2015-2023范围内
000066-2013-中国长城.txt,年份不在2015-2023范围内
000066-2014-中国长城.txt,年份不在2015-2023范围内
000069-2007-华侨城Ａ.txt,年份不在2015-2023范围内
000069-2008-华侨城Ａ.txt,年份不在2015-2023范围内
000069-2009-华侨城Ａ.txt,年份不在2015-2023范围内
000069-2010-华侨城Ａ.txt,年份不在2015-2023范围内
000069-2011-华侨城Ａ.txt,年份不在2015-2023范围内
000069-2012-华侨城Ａ.txt,年份不在2015-2023范围内
000069-2013-华侨城Ａ.txt,年份不在2015-2023范围内
000069-2014-华侨城Ａ.txt,年份不在2015-2023范围内
000088-2008-盐田港.txt,年份不在2015-2023范围内
000088-2009-盐田港.txt,年份不在2015-2023范围内
000088-2010-盐田港.txt,年份不在2015-2023范围内
000088-2011-盐田港.txt,年份不在2015-2023范围内
000088-2012-盐田港.txt,年份不在2015-2023范围内
000088-2013-盐田港.txt,年份不在2015-2023范围内
000088-2014-盐田港.txt,年份不在2015-2023范围内
000089-2008-深圳机场.txt,年份不在2015-2023范围内
000089-2009-深圳机场.txt,年份不在2015-2023范围内
000089-2010-深圳机场.txt,年份不在2015-2023范围内
000089-2011-深圳机场.txt,年份不在2015-2023范围内
000100-2008-TCL科技.txt,年份不在2015-2023范围内
000100-2009-TCL科技.txt,年份不在2015-2023范围内
000100-2010-TCL科技.txt,年份不在2015-2023范围内
000100-2011-TCL科技.txt,年份不在2015-2023范围内
000100-2012-TCL科技.txt,年份不在2015-2023范围内
000100-2013-TCL科技.txt,年份不在2015-2023范围内
000100-2014-TCL科技.txt,年份不在2015-2023范围内
000156-2013-华数传媒.txt,年份不在2015-2023范围内
000156-2014-华数传媒.txt,年份不在2015-2023范围内
000157-2008-中联重科.txt,年份不在2015-2023范围内
000157-2009-中联重科.txt,年份不在2015-2023范围内
000157-2010-中联重科.txt,年份不在2015-2023范围内
000157-2011-中联重科.txt,年份不在2015-2023范围内
000157-2012-中联重科.txt,年份不在2015-2023范围内
000157-2013-中联重科.txt,年份不在2015-2023范围内
000157-2014-中联重科.txt,年份不在2015-2023范围内
000158-2006-常山北明.txt,年份不在2015-2023范围内
000166-2014-申万宏源.txt,年份不在2015-2023范围内
000301-2008-东方盛虹.txt,年份不在2015-2023范围内
000301-2009-东方盛虹.txt,年份不在2015-2023范围内
000301-2010-东方盛虹.txt,年份不在2015-2023范围内
000301-2011-东方盛虹.txt,年份不在2015-2023范围内
000301-2012-东方盛虹.txt,年份不在2015-2023范围内
000301-2013-东方盛虹.txt,年份不在2015-2023范围内
000301-2014-东方盛虹.txt,年份不在2015-2023范围内
000333-2013-美的集团.txt,年份不在2015-2023范围内
000338-2008-潍柴动力.txt,年份不在2015-2023范围内
000338-2009-潍柴动力.txt,年份不在2015-2023范围内
000338-2010-潍柴动力.txt,年份不在2015-2023范围内
000338-2011-潍柴动力.txt,年份不在2015-2023范围内
000338-2012-潍柴动力.txt,年份不在2015-2023范围内
000338-2013-潍柴动力.txt,年份不在2015-2023范围内
000338-2014-潍柴动力.txt,年份不在2015-2023范围内
000400-2008-许继电气.txt,年份不在2015-2023范围内
000400-2009-许继电气.txt,年份不在2015-2023范围内
000400-2010-许继电气.txt,年份不在2015-2023范围内
000400-2011-许继电气.txt,年份不在2015-2023范围内
000400-2013-许继电气.txt,年份不在2015-2023范围内
000400-2014-许继电气.txt,年份不在2015-2023范围内
000401-2008-冀东水泥.txt,年份不在2015-2023范围内
